"Robot Gesture ID","Gesture Type","Gesture Coordinates (x, y, z)","Timestamp","Gesture Duration (sec)","Robot Status","Message ID","Sender","Receiver","Encryption Algorithm Used","Encryption Status","Network Latency (ms)","Data Transfer Rate (Mbps)","Threat Type","Threat Severity","Response Time (sec)","Response Action Taken","Threat Detected"
1,"Wave","(1.2, 3.4, 5.6)","2023-10-27 10:00:00",2.5,"Idle",101,"Robot1","ControlCenter","AES","Encrypted",20,100,"None",0,0.1,"None",0
2,"Point","(2.5, 4.1, 6.3)","2023-10-27 10:00:05",1.8,"Active",102,"Robot2","Robot1","RSA","Encrypted",30,80,"None",0,0.2,"None",0
3,"Grab","(3.1, 2.7, 4.9)","2023-10-27 10:00:10",3.2,"Idle",103,"ControlCenter","Robot2","None","Unencrypted",10,120,"None",0,0.1,"None",0
4,"Wave","(1.5, 3.6, 5.8)","2023-10-27 10:00:15",2.6,"Active",104,"Robot1","ControlCenter","AES","Encrypted",25,95,"None",0,0.1,"None",0
5,"Point","(2.8, 4.3, 6.5)","2023-10-27 10:00:20",1.9,"Idle",105,"Robot2","Robot1","RSA","Encrypted",35,75,"None",0,0.2,"None",0
6,"Grab","(3.3, 2.9, 5.1)","2023-10-27 10:00:25",3.3,"Active",106,"ControlCenter","Robot2","None","Unencrypted",15,115,"None",0,0.1,"None",0
7,"Push","(4.2, 1.8, 3.5)","2023-10-27 10:00:30",1.5,"Idle",107,"Robot3","Robot4","AES","Encrypted",40,60,"Intrusion",3,5.0,"Block",1
8,"Release","(5.1, 0.9, 2.8)","2023-10-27 10:00:35",1.2,"Active",108,"Robot4","Robot3","RSA","Encrypted",50,50,"Data-Theft",4,10.0,"Isolate",1
9,"Push","(4.5, 2.1, 3.8)","2023-10-27 10:00:40",1.6,"Idle",109,"Robot3","Robot4","AES","Encrypted",45,55,"Intrusion",3,5.2,"Block",1
10,"Release","(5.3, 1.1, 3.0)","2023-10-27 10:00:45",1.3,"Active",110,"Robot4","Robot3","RSA","Encrypted",55,45,"Data-Theft",4,10.5,"Isolate",1
11,"Wave","(1.3, 3.5, 5.7)","2023-10-27 10:00:50",2.7,"Idle",111,"Robot1","ControlCenter","AES","Encrypted",22,98,"None",0,0.1,"None",0
12,"Point","(2.6, 4.2, 6.4)","2023-10-27 10:00:55",2.0,"Active",112,"Robot2","Robot1","RSA","Encrypted",32,78,"None",0,0.2,"None",0
13,"Grab","(3.2, 2.8, 5.0)","2023-10-27 10:01:00",3.4,"Idle",113,"ControlCenter","Robot2","None","Unencrypted",12,118,"None",0,0.1,"None",0
14,"Push","(4.3, 1.9, 3.6)","2023-10-27 10:01:05",1.7,"Active",114,"Robot3","Robot4","AES","Encrypted",42,58,"Intrusion",3,5.1,"Block",1
15,"Release","(5.2, 1.0, 2.9)","2023-10-27 10:01:10",1.4,"Idle",115,"Robot4","Robot3","RSA","Encrypted",52,48,"Data-Theft",4,10.2,"Isolate",1
16,"Wave","(1.6, 3.7, 5.9)","2023-10-27 10:01:15",2.8,"Active",116,"Robot1","ControlCenter","AES","Encrypted",28,92,"None",0,0.1,"None",0
17,"Point","(2.9, 4.4, 6.6)","2023-10-27 10:01:20",2.1,"Idle",117,"Robot2","Robot1","RSA","Encrypted",38,72,"None",0,0.2,"None",0
18,"Grab","(3.4, 3.0, 5.2)","2023-10-27 10:01:25",3.5,"Active",118,"ControlCenter","Robot2","None","Unencrypted",18,112,"None",0,0.1,"None",0
19,"Push","(4.6, 2.2, 3.9)","2023-10-27 10:01:30",1.8,"Idle",119,"Robot3","Robot4","AES","Encrypted",48,52,"Intrusion",3,5.3,"Block",1
20,"Release","(5.4, 1.2, 3.1)","2023-10-27 10:01:35",1.5,"Active",120,"Robot4","Robot3","RSA","Encrypted",58,42,"Data-Theft",4,10.8,"Isolate",1
21,"Wave","(1.4, 3.6, 5.8)","2023-10-27 10:01:40",2.9,"Idle",121,"Robot1","ControlCenter","AES","Encrypted",24,96,"None",0,0.1,"None",0
22,"Point","(2.7, 4.3, 6.5)","2023-10-27 10:01:45",2.2,"Active",122,"Robot2","Robot1","RSA","Encrypted",34,76,"None",0,0.2,"None",0
23,"Grab","(3.5, 3.1, 5.3)","2023-10-27 10:01:50",3.6,"Idle",123,"ControlCenter","Robot2","None","Unencrypted",14,116,"None",0,0.1,"None",0
24,"Push","(4.4, 2.0, 3.7)","2023-10-27 10:01:55",1.9,"Active",124,"Robot3","Robot4","AES","Encrypted",44,56,"Intrusion",3,5.4,"Block",1
25,"Release","(5.5, 1.3, 3.2)","2023-10-27 10:02:00",1.6,"Idle",125,"Robot4","Robot3","RSA","Encrypted",54,46,"Data-Theft",4,11.0,"Isolate",1
26,"Data-Theft","(5.5, 1.3, 3.2)","2023-10-27 10:02:00",1.6,"Idle",125,"Robot4","Robot3","RSA","Encrypted",54,46,"Data-Theft",4,11.0,"Isolate",1
27,"DDos","(5.5, 1.3, 3.2)","2023-10-27 10:02:00",1.6,"Idle",125,"Robot4","Robot3","RSA","Encrypted",54,46,"DDos",4,11.0,"Isolate",1
28,"Intrusion","(5.5, 1.3, 3.2)","2023-10-27 10:02:00",1.6,"Idle",125,"Robot4","Robot3","RSA","Encrypted",54,46,"Intrusion",4,11.0,"Isolate",1
29,"Malware","(5.5, 1.3, 3.2)","2023-10-27 10:02:00",1.6,"Idle",125,"Robot4","Robot3","RSA","Encrypted",54,46,"Malware",4,11.0,"Isolate",1
30,"SQL Injection","(5.5, 1.3, 3.2)","2023-10-27 10:02:00",1.6,"Idle",125,"Robot4","Robot3","RSA","Encrypted",54,46,"SQL Injection",4,11.0,"Isolate",1
